Rule Code,Rule Name,Category,Severity,Description,Example,Definition JSON
FG_BEHAV_06,Behavioral deviation 6,BEHAVIORAL,HIGH,Behavior deviates from baseline: failed login then transfer.,Unusually large amount at odd hour from a new device.,"{""category"":""BEHAVIORAL"",""login_failed_then_transfer"":true,""window_minutes"":15}"
FG_CHBACK_01,Chargeback/dispute signal 1,CHARGEBACK,HIGH,Prior disputes/chargebacks by customer or high merchant dispute rate.,Customer had 2 chargebacks in last 90 days; new txn flagged.,"{""category"":""CHARGEBACK"",""prior_chargeback_count_gt"":0,""lookback_days"":30}"
FG_CHBACK_02,Chargeback/dispute signal 2,CHARGEBACK,HIGH,Prior disputes/chargebacks by customer or high merchant dispute rate.,Customer had 2 chargebacks in last 90 days; new txn flagged.,"{""category"":""CHARGEBACK"",""prior_chargeback_count_gt"":1,""lookback_days"":90}"
FG_CHBACK_03,Chargeback/dispute signal 3,CHARGEBACK,HIGH,Prior disputes/chargebacks by customer or high merchant dispute rate.,Customer had 2 chargebacks in last 90 days; new txn flagged.,"{""category"":""CHARGEBACK"",""merchant_chargeback_rate_gte"":0.05,""lookback_days"":90}"
FG_CHBACK_04,Chargeback/dispute signal 4,CHARGEBACK,HIGH,Prior disputes/chargebacks by customer or high merchant dispute rate.,Customer had 2 chargebacks in last 90 days; new txn flagged.,"{""category"":""CHARGEBACK"",""customer_dispute_ratio_gte"":0.03,""lookback_days"":180}"
FG_CHBACK_05,Chargeback/dispute signal 5,CHARGEBACK,HIGH,Prior disputes/chargebacks by customer or high merchant dispute rate.,Customer had 2 chargebacks in last 90 days; new txn flagged.,"{""category"":""CHARGEBACK"",""issuer_dispute_flag"":true}"
FG_CHBACK_06,Chargeback/dispute signal 6,CHARGEBACK,HIGH,Prior disputes/chargebacks by customer or high merchant dispute rate.,Customer had 2 chargebacks in last 90 days; new txn flagged.,"{""category"":""CHARGEBACK"",""retrieval_request_recent"":true}"
FG_WALLETFX_01,Wallet/Forex/Card specific 1,WALLET_FOREX_CARD,HIGH,"Wallet top-ups/chains, cross-currency or international card behavior.","Wallet top-up ₹60,000 followed by multiple P2P hops.","{""category"":""WALLET_FOREX_CARD"",""wallet_topup"":true,""amount_gte"":50000}"
FG_WALLETFX_02,Wallet/Forex/Card specific 2,WALLET_FOREX_CARD,HIGH,"Wallet top-ups/chains, cross-currency or international card behavior.","Wallet top-up ₹60,000 followed by multiple P2P hops.","{""category"":""WALLET_FOREX_CARD"",""wallet_p2p_chain"":true,""hops_gt"":3,""window_minutes"":120}"
FG_WALLETFX_03,Wallet/Forex/Card specific 3,WALLET_FOREX_CARD,HIGH,"Wallet top-ups/chains, cross-currency or international card behavior.","Wallet top-up ₹60,000 followed by multiple P2P hops.","{""category"":""WALLET_FOREX_CARD"",""forex_currency_not_in"":[""INR""],""amount_gte"":20000}"
FG_WALLETFX_04,Wallet/Forex/Card specific 4,WALLET_FOREX_CARD,HIGH,"Wallet top-ups/chains, cross-currency or international card behavior.","Wallet top-up ₹60,000 followed by multiple P2P hops.","{""category"":""WALLET_FOREX_CARD"",""card_international"":true,""amount_gte"":15000}"
FG_WALLETFX_05,Wallet/Forex/Card specific 5,WALLET_FOREX_CARD,HIGH,"Wallet top-ups/chains, cross-currency or international card behavior.","Wallet top-up ₹60,000 followed by multiple P2P hops.","{""category"":""WALLET_FOREX_CARD"",""card_contactless_tap_count_gt"":5,""window_minutes"":30}"
FG_WALLETFX_06,Wallet/Forex/Card specific 6,WALLET_FOREX_CARD,HIGH,"Wallet top-ups/chains, cross-currency or international card behavior.","Wallet top-up ₹60,000 followed by multiple P2P hops.","{""category"":""WALLET_FOREX_CARD"",""mcc_forex_remittance"":true,""amount_gte"":25000}"
FG_OTPPIN_01,OTP/PIN anomaly 1,OTP_PIN,CRITICAL,"Auth anomalies: repeated OTP/PIN failures, bypass, SIM swap, biometric disabled.","4 failed OTP attempts in 10 minutes for a ₹15,000 UPI.","{""category"":""OTP_PIN"",""otp_fail_count_gt"":3,""window_minutes"":15}"
FG_OTPPIN_02,OTP/PIN anomaly 2,OTP_PIN,CRITICAL,"Auth anomalies: repeated OTP/PIN failures, bypass, SIM swap, biometric disabled.","4 failed OTP attempts in 10 minutes for a ₹15,000 UPI.","{""category"":""OTP_PIN"",""pin_retry_count_gt"":3,""window_minutes"":15}"
FG_OTPPIN_03,OTP/PIN anomaly 3,OTP_PIN,CRITICAL,"Auth anomalies: repeated OTP/PIN failures, bypass, SIM swap, biometric disabled.","4 failed OTP attempts in 10 minutes for a ₹15,000 UPI.","{""category"":""OTP_PIN"",""otp_bypass_detected"":true}"
FG_OTPPIN_04,OTP/PIN anomaly 4,OTP_PIN,CRITICAL,"Auth anomalies: repeated OTP/PIN failures, bypass, SIM swap, biometric disabled.","4 failed OTP attempts in 10 minutes for a ₹15,000 UPI.","{""category"":""OTP_PIN"",""sim_swap_recent_days_lte"":3}"
FG_OTPPIN_05,OTP/PIN anomaly 5,OTP_PIN,CRITICAL,"Auth anomalies: repeated OTP/PIN failures, bypass, SIM swap, biometric disabled.","4 failed OTP attempts in 10 minutes for a ₹15,000 UPI.","{""category"":""OTP_PIN"",""device_biometric_disabled"":true}"
FG_OTPPIN_06,OTP/PIN anomaly 6,OTP_PIN,CRITICAL,"Auth anomalies: repeated OTP/PIN failures, bypass, SIM swap, biometric disabled.","4 failed OTP attempts in 10 minutes for a ₹15,000 UPI.","{""category"":""OTP_PIN"",""otp_delivery_to_alt_channel"":true}"
FG_GRAPH_01,Graph/ring suspicion 1,GRAPH_RING,CRITICAL,"Network signals suggest collusion: shared devices/IPs, short-path to known fraud, large components.",Account shares device with 4 other flagged accounts.,"{""category"":""GRAPH_RING"",""shared_device_count_gt"":3}"
FG_GRAPH_02,Graph/ring suspicion 2,GRAPH_RING,CRITICAL,"Network signals suggest collusion: shared devices/IPs, short-path to known fraud, large components.",Account shares device with 4 other flagged accounts.,"{""category"":""GRAPH_RING"",""shared_ip_count_gt"":5}"
FG_GRAPH_03,Graph/ring suspicion 3,GRAPH_RING,CRITICAL,"Network signals suggest collusion: shared devices/IPs, short-path to known fraud, large components.",Account shares device with 4 other flagged accounts.,"{""category"":""GRAPH_RING"",""cycle_triads_detected"":true}"
FG_GRAPH_04,Graph/ring suspicion 4,GRAPH_RING,CRITICAL,"Network signals suggest collusion: shared devices/IPs, short-path to known fraud, large components.",Account shares device with 4 other flagged accounts.,"{""category"":""GRAPH_RING"",""component_size_gt"":20}"
FG_GRAPH_05,Graph/ring suspicion 5,GRAPH_RING,CRITICAL,"Network signals suggest collusion: shared devices/IPs, short-path to known fraud, large components.",Account shares device with 4 other flagged accounts.,"{""category"":""GRAPH_RING"",""distance_to_known_fraud_lte"":2}"
FG_GRAPH_06,Graph/ring suspicion 6,GRAPH_RING,CRITICAL,"Network signals suggest collusion: shared devices/IPs, short-path to known fraud, large components.",Account shares device with 4 other flagged accounts.,"{""category"":""GRAPH_RING"",""merchant_cluster_bridge"":true}"
FG_SCAM_01,Scam signal 1,SCAM_SIGNAL,CRITICAL,Narration/metadata indicate social-engineering pattern (refund/KYC/utility/parcel/task/loan-fee).,Narration contains 'refund' and 'OTP' keywords.,"{""category"":""SCAM_SIGNAL"",""social_engineering"":true,""narration_keywords"":[""refund"",""OTP"",""verify""],""scam_pattern"":""refund_scam""}"
FG_SCAM_02,Scam signal 2,SCAM_SIGNAL,CRITICAL,Narration/metadata indicate social-engineering pattern (refund/KYC/utility/parcel/task/loan-fee).,Narration contains 'refund' and 'OTP' keywords.,"{""category"":""SCAM_SIGNAL"",""social_engineering"":true,""narration_keywords"":[""KYC"",""suspend"",""update""],""scam_pattern"":""kyc_scam""}"
FG_SCAM_03,Scam signal 3,SCAM_SIGNAL,CRITICAL,Narration/metadata indicate social-engineering pattern (refund/KYC/utility/parcel/task/loan-fee).,Narration contains 'refund' and 'OTP' keywords.,"{""category"":""SCAM_SIGNAL"",""social_engineering"":true,""narration_keywords"":[""electricity"",""bill"",""disconnect""],""scam_pattern"":""utility_scam""}"
FG_SCAM_04,Scam signal 4,SCAM_SIGNAL,CRITICAL,Narration/metadata indicate social-engineering pattern (refund/KYC/utility/parcel/task/loan-fee).,Narration contains 'refund' and 'OTP' keywords.,"{""category"":""SCAM_SIGNAL"",""social_engineering"":true,""narration_keywords"":[""customs"",""parcel"",""hold""],""scam_pattern"":""parcel_scam""}"
FG_SCAM_05,Scam signal 5,SCAM_SIGNAL,CRITICAL,Narration/metadata indicate social-engineering pattern (refund/KYC/utility/parcel/task/loan-fee).,Narration contains 'refund' and 'OTP' keywords.,"{""category"":""SCAM_SIGNAL"",""social_engineering"":true,""narration_keywords"":[""job"",""task"",""earn""],""scam_pattern"":""task_scam""}"
FG_SCAM_06,Scam signal 6,SCAM_SIGNAL,CRITICAL,Narration/metadata indicate social-engineering pattern (refund/KYC/utility/parcel/task/loan-fee).,Narration contains 'refund' and 'OTP' keywords.,"{""category"":""SCAM_SIGNAL"",""social_engineering"":true,""narration_keywords"":[""loan"",""pre-approve"",""fee""],""scam_pattern"":""loan_fee_scam""}"
